city_no,city,country_no,country
819,Santana do Livramento,28,Brazil
820,Canoas,28,Brazil
821,Quarai,28,Brazil
822,Santa Vitoria do Palmar,28,Brazil
823,Sao Lourenco do Sul,28,Brazil
824,Canela,28,Brazil
825,Sao Gabriel,28,Brazil
826,Rosario do Sul,28,Brazil
827,Cachoeira do Sul,28,Brazil
828,Osorio,28,Brazil
829,Santa Cruz do Sul,28,Brazil
830,Sao Luiz Gonzaga,28,Brazil
831,Santo Angelo,28,Brazil
832,Carazinho,28,Brazil
833,Erechim,28,Brazil
834,Guaira,28,Brazil
835,Palmas,28,Brazil
836,Arapongas,28,Brazil
837,Paranagua,28,Brazil
838,Sao Jose dos Pinhais,28,Brazil
839,Guarapuava,28,Brazil
840,Rio Negro,28,Brazil
841,Apucarana,28,Brazil
842,Lapa,28,Brazil
843,Irati,28,Brazil
844,Castro,28,Brazil
845,Telemaco Borba,28,Brazil
846,Jacarezinho,28,Brazil
847,Concordia,28,Brazil
848,Blumenau,28,Brazil
849,Brusque,28,Brazil
850,Ararangua,28,Brazil
851,Jaragua do Sul,28,Brazil
852,Tubarao,28,Brazil
853,Laguna,28,Brazil
854,Joacaba,28,Brazil
855,Cacador,28,Brazil
856,Canoinhas,28,Brazil
857,Camocim,28,Brazil
858,Russas,28,Brazil
859,Sobral,28,Brazil
860,Iguatu,28,Brazil
861,Quixada,28,Brazil
862,Caninde,28,Brazil
863,Campo Maior,28,Brazil
864,Barras,28,Brazil
865,Rio Largo,28,Brazil
866,Palmeira dos Indios,28,Brazil
867,Santa Cruz Cabralia,28,Brazil
868,Paulo Afonso,28,Brazil
869,Brumado,28,Brazil
870,Jaguaquara,28,Brazil
871,Itapetinga,28,Brazil
872,Ubaitaba,28,Brazil
873,Cachoeiro de Itapemirim,28,Brazil
874,Barra Mansa,28,Brazil
875,Nova Iguacu,28,Brazil
876,Duque de Caxias,28,Brazil
877,Niteroi,28,Brazil
878,Cabo Frio,28,Brazil
879,Macae,28,Brazil
880,Miracema,28,Brazil
881,Apodi,28,Brazil
882,Santa Cruz,28,Brazil
883,Morrinhos,28,Brazil
884,Ceres,28,Brazil
885,Catalao,28,Brazil
886,Cristalina,28,Brazil
887,Trindade,28,Brazil
888,Ipora,28,Brazil
889,Inhumas,28,Brazil
890,Itaberai,28,Brazil
891,Santo Andre,28,Brazil
892,Pindamonhangaba,28,Brazil
893,Rio Claro,28,Brazil
894,Ourinhos,28,Brazil
895,Itanhaem,28,Brazil
896,Jaboticabal,28,Brazil
897,Braganca Paulista,28,Brazil
898,Jundiai,28,Brazil
899,Sao Jose dos Campos,28,Brazil
900,Guaratingueta,28,Brazil
901,Pirassununga,28,Brazil
902,Americana,28,Brazil
903,Piracicaba,28,Brazil
